,sector,industry,market_cap,country,full_name,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,error
AIZ,Financial Services,Insurance - Property & Casualty,8624482042.098999,United States,"Assurant, Inc.",0.08,0.274,0.247,0.58,230.55,174.97,0.0398798,buy,1.57143,247.66667,265.0,232.0,
BXP,Real Estate,REIT - Office,10003048741.30249,United States,"BXP, Inc.",-0.15,,,1.011,84.75,54.22,-0.1386041,buy,2.26087,79.65,91.0,65.0,
DAY,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
SWKS,Technology,Semiconductors,16967234307.615234,United States,"Skyworks Solutions, Inc.",0.066,-0.067,-0.132,1.296,95.46,47.93,-0.20426661,hold,2.92308,83.83333,140.0,65.0,
ALB,Basic Materials,Specialty Chemicals,16405976618.103027,United States,Albemarle Corporation,-0.07,,,1.462,113.91,49.43,-0.084178925,hold,2.65385,96.44696,200.0,58.0,
CPT,Real Estate,REIT - Residential,9933467257.743835,United States,Camden Property Trust,0.02,0.874,0.88,0.832,127.65,97.17,-0.13658041,buy,2.4,120.59783,142.0,106.0,
GL,Financial Services,Insurance - Life,11256321116.39563,United States,Globe Life Inc.,0.04,0.375,0.28,0.481,147.83,100.27,0.20162165,buy,1.72727,166.45454,188.0,145.0,
RVTY,Healthcare,Diagnostics & Research,13417046453.857422,United States,"Revvity, Inc.",0.022,-0.474,-0.506,1.073,129.5,81.36,-0.26565754,buy,1.83333,113.66667,135.0,100.0,
SWK,Industrials,Tools & Accessories,14029370193.560549,United States,"Stanley Black & Decker, Inc.",0.001,-0.434,-0.436,,95.41,53.91,-0.27599698,buy,2.47368,85.02936,120.15,64.0,
HAS,Consumer Cyclical,Leisure,6561352497.009277,United States,"Hasbro, Inc.",0.083,0.031,0.045,0.549,82.19,49.0,0.19672394,strong_buy,1.46154,90.75,100.0,80.0,
PNW,Utilities,Utilities - Regulated Electric,7480069387.832642,United States,Pinnacle West Capital Corporation,0.029,0.006,0.046,0.534,96.5,81.47,-0.008213103,hold,2.5625,96.07143,115.0,80.0,
AKAM,Technology,Software - Infrastructure,17850966969.848633,United States,"Akamai Technologies, Inc.",0.065,-0.174,-0.213,0.701,105.26,67.51,-0.3126731,buy,2.375,94.29545,133.0,66.0,
IVZ,Financial Services,Asset Management,7368804319.452759,United States,Invesco Ltd.,0.082,4.5,2.027,1.643,24.75,11.6,0.25013447,hold,2.57143,26.26923,32.0,22.0,
AES,Utilities,Utilities - Diversified,11664806815.702517,United States,The AES Corporation,-0.03,,,1.003,15.51,9.46,-0.053521156,hold,2.57143,14.875,24.0,8.5,
ALGN,Healthcare,Medical Instruments & Supplies,20985414496.0,United States,"Align Technology, Inc.",0.018,-0.497,-0.511,1.868,246.19,122.0,-0.39661998,buy,2.05882,180.5,220.0,150.0,
FDS,Financial Services,Financial Data & Stock Exchanges,17818819636.184692,United States,FactSet Research Systems Inc.,0.062,0.728,0.716,0.748,499.87,258.15,-0.44702905,hold,3.3,337.8125,430.0,282.0,
NWSA,Communication Services,Entertainment,13993237354.992188,United States,News Corporation,0.008,13.856,13.86,0.97,31.61,23.38,-0.10880828,buy,1.75,37.0875,45.0,28.0,
GNRC,Industrials,Specialty Industrial Machinery,7939420321.453857,United States,Generac Holdings Inc.,-0.05,-0.407,-0.418,1.811,203.25,99.5,-0.14664853,buy,2.0,207.4706,250.0,172.0,
POOL,Industrials,Industrial Distribution,15054440878.271484,United States,Pool Corporation,0.013,0.04,0.01,1.222,395.6,250.85,-0.30388796,buy,2.5,329.27274,375.0,285.0,
ARE,Real Estate,REIT - Office,20058687479.104248,United States,"Alexandria Real Estate Equities, Inc.",-0.05,,,1.324,116.52,53.08,-0.5223814,buy,2.42857,80.30769,130.0,52.0,
PAYC,Technology,Software - Application,11774304486.254885,United States,"Paycom Software, Inc.",0.105,0.317,0.316,0.83,267.76,180.5201,-0.21281749,buy,2.5,242.75,290.0,208.0,
BAX,Healthcare,Medical Instruments & Supplies,18734004656.34156,United States,Baxter International Inc.,0.05,,,0.611,37.74,17.465,-0.5031847,hold,2.82353,24.06667,42.0,19.0,
TECH,Healthcare,Biotechnology,12098050280.76172,United States,Bio-Techne Corporation,0.036,,,1.467,80.8,46.01,-0.19425029,buy,1.53333,67.41667,75.0,59.0,
MRNA,Healthcare,Biotechnology,37918692636.41357,United States,"Moderna, Inc.",-0.411,,,1.111,56.695,23.15,-0.54159427,hold,2.875,40.3,178.0,12.0,
IPG,Communication Services,Advertising Agencies,11534914157.546995,United States,"The Interpublic Group of Companies, Inc.",-0.066,-0.228,-0.242,1.011,33.05,22.51,-0.16820276,none,,33.2,39.0,25.6,
AOS,Industrials,Specialty Industrial Machinery,11822282360.839844,United States,A. O. Smith Corporation,0.044,0.146,0.099,1.336,77.92,58.83,-0.14512533,hold,2.57143,78.18182,100.0,62.0,
EPAM,Technology,Information Technology Services,17156666458.694458,United States,"EPAM Systems, Inc.",0.18,-0.082,-0.108,1.767,269.0,138.15,-0.21826434,buy,1.77778,202.05882,246.0,150.0,
CPB,Consumer Defensive,Packaged Foods,11938408970.26062,United States,The Campbell's Company,0.012,,,-0.055,47.25,29.39,-0.3557526,hold,3.04762,34.47368,60.0,29.0,
TAP,Consumer Defensive,Beverages - Brewers,12480463402.175903,United States,Molson Coors Beverage Company,-0.023,,,,64.66,42.94,-0.22735316,hold,2.59091,51.2381,72.0,42.0,
MGM,Consumer Cyclical,Resorts & Casinos,15261928901.68286,United States,MGM Resorts International,0.016,,,1.491,41.32,25.3,-0.14854395,buy,1.95238,44.14706,62.0,31.0,
HSIC,Healthcare,Medical Distribution,9837605861.038208,United States,"Henry Schein, Inc.",0.052,0.077,0.02,,82.49,60.56,0.022853851,hold,2.66667,75.84615,90.0,58.0,
LW,Consumer Defensive,Packaged Foods,14986935599.178225,United States,"Lamb Weston Holdings, Inc.",0.003,-0.477,-0.495,0.426,83.981,47.87,-0.22477812,buy,2.36364,66.0,80.0,60.0,
DVA,Healthcare,Medical Care Facilities,9569616675.14038,United States,DaVita Inc.,0.048,-0.184,-0.3,0.994,179.6,115.39,-0.18426597,hold,2.88889,144.5,186.0,126.0,
NCLH,Consumer Cyclical,Travel Services,8525517229.168213,United States,Norwegian Cruise Line Holdings Ltd.,0.047,-0.096,-0.117,2.101,29.29,14.21,-0.3231268,buy,1.73913,29.7381,40.0,21.0,
MOS,Basic Materials,Agricultural Inputs,11091323487.598389,United States,The Mosaic Company,0.067,,,0.937,38.23,22.36,-0.03769481,buy,2.05263,37.37895,48.0,30.0,
FRT,Real Estate,REIT - Retail,7863018123.625183,United States,Federal Realty Investment Trust,0.06,-0.011,0.011,1.02,118.09,80.65,-0.15081328,buy,2.21053,110.07895,137.0,100.0,
CRL,Healthcare,Diagnostics & Research,12126563206.90918,United States,"Charles River Laboratories International, Inc.",0.006,-0.391,-0.444,1.636,230.02,91.86,-0.16970122,buy,2.16667,186.86667,211.0,155.0,
CAG,Consumer Defensive,Packaged Foods,12229465408.26416,United States,"Conagra Brands, Inc.",-0.058,-0.649,-0.648,-0.011,29.46,16.94,-0.40795845,hold,3.0,20.51765,25.0,18.0,
MTCH,Communication Services,Internet Content & Information,9693210929.992676,United States,"Match Group, Inc.",-0.0,0.007,-0.059,1.356,39.2,26.39,-0.16710663,buy,2.36364,37.89474,49.0,31.0,
LKQ,Consumer Cyclical,Auto Parts,12143239223.144531,United States,LKQ Corporation,0.013,-0.038,-0.058,0.89,44.82,28.42,-0.20293653,buy,1.71429,42.91667,50.0,40.0,
APA,Energy,Oil & Gas E&P,10105287029.695925,United States,APA Corporation,-0.136,0.145,0.115,0.763,25.83,13.58,-0.10675293,hold,3.0,24.96296,37.0,19.0,
SOLSV,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,No price data for SOLSV around 2024-01-01 00:00:00
MOH,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
EMN,Basic Materials,Specialty Chemicals,9970121320.419312,United States,Eastman Chemical Company,-0.106,-0.739,-0.739,1.253,107.5,56.75,-0.41415894,buy,1.76471,73.88235,100.0,60.0,
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6591107700.0,United States,"Mohawk Industries, Inc.",0.014,-0.314,-0.328,1.239,148.57,96.24,-0.25033873,buy,2.11765,138.5,155.0,122.0,
NWS,Communication Services,Entertainment,14013790179.408323,United States,News Corporation,0.008,13.856,13.86,0.97,35.58,26.25,-0.06165266,buy,1.75,26.5,26.5,26.5,
Q,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,No price data for Q around 2024-01-01 00:00:00
